Department ID,Title,Job Type,Area of Practice,Position,Salary,Hospital Name,City,State,URL,Description,Scraped At
R-202648,Internist,Full time,Specialty Care,Internal Medicine Specialist,N/A,"VCA Animal Hospital, This job is available in 2 locations - California",This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-202648/Internist,,"4/2/2026, 1:15:00 PM"
R-186754,Criticalist,Full time,Specialty Care,ECC Specialist,N/A,<B>VCA Veterinary Referral & Emergency Center,This job is available in 2 locations,New York,https://www.vcacareers.com/global/en/job/R-186754/Criticalist,,"4/2/2026, 1:15:00 PM"
R-225979,Veterinarian - Torrance,Full time,,Associate Veterinarian,N/A,VCA Clarmar Animal Hospital,This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-225979/Veterinarian-Torrance,,"4/2/2026, 1:15:00 PM"
R-224688,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,N/A,<B>VCA Ocean View Animal Hospital,This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-224688/Associate-Veterinarian,,"4/2/2026, 1:15:00 PM"
R-224523,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,N/A,VCA Pacific Veterinary Center,This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-224523/Associate-Veterinarian,,"4/2/2026, 1:15:00 PM"
R-230152,Neurologist,Full time,Specialty Care,Neurology Specialist,N/A,<B>VCA Veterinary Specialists,This job is available in 2 locations,Connecticut,https://www.vcacareers.com/global/en/job/R-230152/Neurologist,,"4/2/2026, 1:15:00 PM"
R-225947,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,N/A,VCA Orange Animal Hospital,This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-225947/Associate-Veterinarian,,"4/2/2026, 1:15:00 PM"
R-06038,Las Vegas/Reno Area Veterinarians- Relocation Available!,Full time,,Las Vegas/Reno Area Veterinarians- Relocation Available!,N/A,VCA Lakeside Animal Hospital,This job is available in 2 locations,,https://www.vcacareers.com/global/en/job/R-06038/Las-Vegas-Reno-Area-Veterinarians-Relocation-Available!,,"4/2/2026, 1:15:05 PM"
R-232126,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,N/A,"VCA Animal Hospital, This job is available in 2 locations - California",This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-232126/Associate-Veterinarian,,"4/2/2026, 1:15:05 PM"
R-186759,Criticalist,Full time,Specialty Care,ECC Specialist,N/A,"VCA Animal Hospital, This job is available in 2 locations - Ohio",This job is available in 2 locations,Ohio,https://www.vcacareers.com/global/en/job/R-186759/Criticalist,,"4/2/2026, 1:15:05 PM"
R-234772,Medical Director,Full time,General Practice Care,Medical Director,N/A,VCA Sacramento Animal Medical,This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-234772/Medical-Director,,"4/2/2026, 1:15:05 PM"
R-156408,Internist,Full time,Specialty Care,Internal Medicine Specialist,N/A,"VCA Animal Hospital, This job is available in 2 locations - California",This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-156408/Internist,,"4/2/2026, 1:15:05 PM"
R-231242,Emergency Veterinarian,Full time,Emergency Care,Associate Veterinarian,N/A,</Span><Span>VCA PetCare East Veterinary Hospital,This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-231242/Emergency-Veterinarian,,"4/2/2026, 1:15:05 PM"
R-234572,Emergency Veterinarian,Full time,Emergency Care,Associate Veterinarian,N/A,"VCA Animal Hospital, This job is available in 2 locations - Texas",This job is available in 2 locations,Texas,https://www.vcacareers.com/global/en/job/R-234572/Emergency-Veterinarian,,"4/2/2026, 1:15:12 PM"
R-230180,"Associate Veterinarian - Fort Myers, FL",Part time,General Practice Care,Associate Veterinarian,N/A,"VCA Animal Hospital, This job is available in 2 locations - Florida",This job is available in 2 locations,Florida,https://www.vcacareers.com/global/en/job/R-230180/Associate-Veterinarian-Fort-Myers-FL,,"4/2/2026, 1:15:13 PM"
R-229708,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,N/A,Bond Animal Hospital,This job is available in 2 locations,New York,https://www.vcacareers.com/global/en/job/R-229708/Associate-Veterinarian,,"4/2/2026, 1:15:15 PM"
R-110261,Neurologist,Full time,Specialty Care,Neurology Specialist,N/A,<B>VCA Veterinary Referral & Emergency Center,This job is available in 2 locations,New York,https://www.vcacareers.com/global/en/job/R-110261/Neurologist,,"4/2/2026, 1:15:17 PM"
R-187413,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,N/A,VCA San Francis Animal Hospital,This job is available in 2 locations,Florida,https://www.vcacareers.com/global/en/job/R-187413/Associate-Veterinarian,,"4/2/2026, 1:15:18 PM"
R-214459,Surgeon,Full time,Specialty Care,Surgery Specialist,N/A,"VCA Animal Hospital, This job is available in 2 locations - Arizona",This job is available in 2 locations,Arizona,https://www.vcacareers.com/global/en/job/R-214459/Surgeon,,"4/2/2026, 1:15:19 PM"
R-229717,ER Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,N/A,<B>Old Marple Animal Hospital,This job is available in 2 locations,Pennsylvania,https://www.vcacareers.com/global/en/job/R-229717/ER-Associate-Veterinarian,,"4/2/2026, 1:15:34 PM"
R-201509,Associate Veterinarian,,General Practice Care,Associate Veterinarian,N/A,VCA Three Notch Animal Hospital,This job is available in 2 locations,Maryland,https://www.vcacareers.com/global/en/job/R-201509/Associate-Veterinarian,,"4/2/2026, 1:15:36 PM"
R-227531,Associate Veterinarian,,General Practice Care,Associate Veterinarian,N/A,"VCA Animal Hospital, This job is available in 2 locations - Illinois",This job is available in 2 locations,Illinois,https://www.vcacareers.com/global/en/job/R-227531/Associate-Veterinarian,,"4/2/2026, 1:15:38 PM"
R-204711,Associate Veterinarian,,General Practice Care,Associate Veterinarian,N/A,<B>Veterinary Specialists,This job is available in 2 locations,Connecticut,https://www.vcacareers.com/global/en/job/R-204711/Associate-Veterinarian,,"4/2/2026, 1:15:40 PM"
R-234869,"Medical Director, DVM",Full time,General Practice Care,Medical Director,N/A,<B>VCA Animal Care Hospital,This job is available in 2 locations,Minnesota,https://www.vcacareers.com/global/en/job/R-234869/Medical-Director-DVM,,"4/2/2026, 1:15:40 PM"
R-218557,Criticalist,Full time,Specialty Care,ECC Specialist,N/A,"VCA Animal Hospital, This job is available in 2 locations - California",This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-218557/Criticalist,,"4/2/2026, 1:15:40 PM"
R-88844,Associate Veterinarian - Urgent Care,Full time,General Practice Care,Urgent Care Veterinarian,N/A,<B>VCA Pacific Avenue Animal Hospital,This job is available in 2 locations,Washington,https://www.vcacareers.com/global/en/job/R-88844/Associate-Veterinarian-Urgent-Care,,"4/2/2026, 1:15:44 PM"
R-235642,Medical Director,Full time,General Practice Care,Medical Director,N/A,<B>VCA All Creatures Animal Hospital,This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-235642/Medical-Director,,"4/2/2026, 1:15:44 PM"
R-233986,Overnight Emergency Veterinarian,Full time,Emergency Care,Associate Veterinarian,N/A,<B>VCA SouthPaws Veterinary Specialists & Emergency,This job is available in 2 locations,Virginia,https://www.vcacareers.com/global/en/job/R-233986/Overnight-Emergency-Veterinarian,,"4/2/2026, 1:15:44 PM"
R-223141,Surgeon,Full time,Specialty Care,Surgery Specialist,N/A,"VCA Animal Hospital, This job is available in 2 locations - California",This job is available in 2 locations,California,https://www.vcacareers.com/global/en/job/R-223141/Surgeon,,"4/2/2026, 1:15:44 PM"
R-186749,Cardiologist,Full time,Specialty Care,Cardiology Specialist,N/A,<B>VCA Veterinary Referral & Emergency Center,This job is available in 2 locations,,https://www.vcacareers.com/global/en/job/R-186749/Cardiologist,,"4/2/2026, 1:15:44 PM"
R-230137,Associate Veterinarian,Full time,General Practice Care,Associate Veterinarian,N/A,"VCA Animal Hospital, This job is available in 2 locations - Michigan",This job is available in 2 locations,Michigan,https://www.vcacareers.com/global/en/job/R-230137/Associate-Veterinarian,,"4/2/2026, 1:15:44 PM"
